,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
0,현대 그랜저HG 300 LPi 프리미엄,차량번호 59서2874,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216827&gubun=K,2012.06,"128,383 km",LPG,"2,999 cc (235마력)",회색,만료,690만원,준비중,무,무,유,유,유,유,유,유,무,무,등록,3,0,0,0,0,2,"1,797,258",0,0
1,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,차량번호 48누1487,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216255&gubun=K,2015.03,"229,350 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,770만원,20,유,유,유,유,유,유,무,유,유,무,등록,3,0,0,0,0,4,"8,129,148",0,0
2,현대 그랜저HG 220 디젤 프리미엄,차량번호 53더1632,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217034&gubun=K,2015.01,"115,435 km",디젤,"2,199 cc (202마력)",검정색,만료,999만원,29,무,무,유,유,유,유,무,유,무,무,등록,1,0,0,0,0,2,"916,288",1,"1,356,217"
3,현대 그랜저HG  300 LPi ,차량번호 13부9685,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215918&gubun=K,2012.01,"93,858 km",LPG,"2,999 cc (235마력)",검정색,만료,"1,030만원",준비중,무,무,유,무,무,유,무,유,무,유,등록,2,0,0,0,0,5,"5,986,356",0,0
4,현대 그랜저HG 하이브리드  2.4 HEV 프리미엄,차량번호 28마0837,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216739&gubun=K,2016.09 (17년형),"98,564 km",가솔린 하이브리드,"2,359 cc (199마력)",은색,만료,"1,450만원",39,무,무,유,유,유,유,무,유,무,유,등록,3,0,0,0,0,0,0,0,0
5,현대 더 뉴 그랜저 2.5 프리미엄 초이스,차량번호 349보5208,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214245&gubun=K,2021.05,"22,500 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,930만원",86,무,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,2,"250,000",1,"1,428,690"
6,현대 더 뉴 그랜저  2.5 캘리그래피   ,차량번호 345모9569,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209115&gubun=K,2020.10 (21년형),"135,027 km",가솔린,"2,497 cc (198마력)",청색,"60개월 / 100,000km","2,699만원",65,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
7,현대 그랜저IG 하이브리드  2.4 HEV 익스클루시브   ,차량번호 240저2189,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217134&gubun=K,2017.07 (18년형),"191,426 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,불가,"1,799만원",45,무,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
8,현대 그랜저HG 240  모던,차량번호 05어1975,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216285&gubun=K,2015.02,"149,930 km",가솔린,"2,359 cc (190마력)",회색,만료,770만원,25,유,무,무,유,유,유,무,유,무,무,등록,5,0,0,0,0,2,"1,265,939",1,"608,081"
9,현대 그랜저IG 2.4 모던,차량번호 220버1487,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215515&gubun=K,2019.06,"51,558 km",가솔린,"2,359 cc (190마력)",흰색,"60개월 / 100,000km","1,940만원",62,유,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,1,"1,002,224",0,0
10,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 351너8445,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217236&gubun=K,2017.07 (18년형),"74,375 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,만료,"2,530만원",61,유,무,유,유,유,유,유,유,유,유,등록,2,0,0,0,0,0,0,0,0
11,현대 더 뉴 그랜저 하이브리드 2.4 HEV  르블랑,차량번호 301보1915,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217012&gubun=K,2021.09 (22년형),"35,824 km",가솔린 하이브리드,"2,359 cc (200마력)",흰색,"60개월 / 100,000km","3,590만원",88,,,,,,,,,,,등록,0,0,0,0,0,2,"1,110,000",1,0
12,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 39조3045,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216885&gubun=K,2017.11 (18년형),"61,348 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,만료,"2,760만원",66,유,무,유,유,유,유,유,유,유,유,등록,3,0,0,0,0,2,"3,955,320",0,0
